name,itemId,score,imageUrl,sites_url,sites_imageUrl,sites_title
TULLY'S バリスタブラック,food_0000852917,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0000107505,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
TULLY'S バリスタブラック,food_0001125337,,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B00U8NS8LW,http://ecx.images-amazon.com/images/I/418khB5UIRL._SX342_.jpg,Amazon.co.jp: TULLY'S バリスタブラック 285ml×24本: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0001154909,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0001260634,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0001193482,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0000168203,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0000198287,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
ブルボン アルフォート ミニチョコレート,food_0000187176,1834.6940104166667,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,http://www.amazon.co.jp/gp/product/B00SKO3JHE,http://ecx.images-amazon.com/images/I/413nKfRzD8L._SX385_.jpg,ブルボン アルフォート ミニチョコレート 12個 x10: 食品・飲料・お酒 通販
カルビー ポテトチップス うすしお味,food_0000006756,415.29296875,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B0036Y0B7E,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,Amazon.co.jp: カルビー ポテトチップス うすしお味 60g×12個: 食品・飲料・お酒 通販
カルビー ポテトチップス うすしお味,food_0001256378,415.29296875,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B0036Y0B7E,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,Amazon.co.jp: カルビー ポテトチップス うすしお味 60g×12個: 食品・飲料・お酒 通販
カルビー ポテトチップス うすしお味,food_0001156333,415.29296875,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,http://www.amazon.co.jp/gp/product/B0036Y0B7E,http://ecx.images-amazon.com/images/I/61HEDvZQ6zL._SX342_.jpg,Amazon.co.jp: カルビー ポテトチップス うすしお味 60g×12個: 食品・飲料・お酒 通販
